price,city,layout,area,condition,ownership,outdoor,lat,lon,url
15200000,Ostatní,4+kk,83,Novostavba,Osobní,0,50.046764,14.175325,https://www.sreality.cz/detail/prodej/byt/4+kk/uhonice-uhonice-ke-hristi/2541302604
14700000,Ostatní,4+kk,83,Novostavba,Osobní,1,50.046764,14.175325,https://www.sreality.cz/detail/prodej/byt/4+kk/uhonice-uhonice-ke-hristi/2759406412
4700000,Brno,2+kk,30,Po rekonstrukci,Osobní,0,49.151031,16.656815,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-brnenske-ivanovice-zezulova/2851693388
3287550,Vsetín,3+1,62,Před rekonstrukcí,Státní/obecní,1,49.340775,17.979038,https://www.sreality.cz/detail/prodej/byt/3+1/vsetin-vsetin-konecna/3165590348
6173510,Trutnov,2+kk,51,Novostavba,Osobní,1,50.63496,15.710593,https://www.sreality.cz/detail/prodej/byt/2+kk/cerny-dul--/514356044
6900000,Praha 9,2+1,49,Před rekonstrukcí,Osobní,0,50.108532,14.537769,https://www.sreality.cz/detail/prodej/byt/2+1/praha-hloubetin-zelenecska/1200440140
9500000,Kladno,3+1,65,Velmi dobrý,Osobní,1,50.135784,14.137951,https://www.sreality.cz/detail/prodej/byt/3+1/kladno-krocehlavy-jaroslava-holecka/2542617420
1833000,Náchod,3+1,79,Po rekonstrukci,Družstevní,1,50.509739,16.229231,https://www.sreality.cz/detail/prodej/byt/3+1/bezdekov-nad-metuji--/42451532
4600000,Praha 6,2+1,57,Novostavba,Družstevní,1,50.090744,14.298481,https://www.sreality.cz/detail/prodej/byt/2+1/praha-ruzyne-stocesova/1539531596
6700000,Tábor,2+1,53,Velmi dobrý,Osobní,1,49.213577,16.593315,https://www.sreality.cz/detail/prodej/byt/2+1/brno--tabor/3663684428
3775000,Trutnov,3+kk,72,Novostavba,Osobní,0,50.56279,16.009754,https://www.sreality.cz/detail/prodej/byt/3+kk/velke-svatonovice-markousovice-/3299324748
9917205,Praha 4,2+1,53,Ve výstavbě,Osobní,1,50.029888,14.505243,https://www.sreality.cz/detail/prodej/byt/2+1/praha-chodov-bartunkova/833958732
17492000,Praha 8,4+kk,153,Novostavba,Osobní,0,50.167774,14.476665,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-brezineves-zverinovych/2443920204
7716040,Praha 4,1+kk,38,Ve výstavbě,Osobní,1,50.029888,14.505243,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-chodov-bartunkova/1890923340
6965648,Praha 5,1+kk,30,Ve výstavbě,Osobní,1,50.047062,14.302664,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-stodulky-svitakova/4024099660
14990000,Karlovy Vary,4+1,171,Velmi dobrý,Osobní,1,50.227524,12.874125,https://www.sreality.cz/detail/prodej/byt/4+1/karlovy-vary-karlovy-vary-krale-jiriho/624522060
10900000,Karlovy Vary,3+kk,134,Velmi dobrý,Osobní,1,50.230091,12.869367,https://www.sreality.cz/detail/prodej/byt/3+kk/karlovy-vary-karlovy-vary-zeyerova/170206028
